id,bb_1_pt1,bb_1_pt2,bb_1_pt3,bb_1_pt4
00184,156.095856,138.651688,333.541046,360.599304
05306,175.371368,155.094650,409.957489,497.285309
09413,71.655945,66.073273,150.246841,172.332062
02254,95.245071,77.654488,234.916443,252.634750
07336,353.084567,297.527484,663.545455,682.618393
09847,230.292450,195.088501,461.358765,485.458954
11305,128.966173,133.957717,286.879493,319.820296
00264,79.720779,69.837395,172.144257,195.535385
06234,102.776215,76.741737,206.122177,208.454514
08945,95.488472,68.157166,226.295746,219.751434
10207,325.028442,278.684387,635.388428,689.299805
01366,28.031681,30.732677,58.261208,70.593147
09768,92.863701,85.127335,204.106094,234.711868
09488,227.208160,249.958191,557.756470,675.061279
01086,161.437592,129.991852,314.098267,333.904144
04204,320.442627,233.652466,746.868835,835.124451
12237,116.566971,101.688278,223.074509,246.269394
03356,131.079010,115.105087,269.662323,298.868683
08511,393.869141,319.913513,970.684937,1064.154907
04030,35.229271,30.675411,65.702339,74.637032
07279,34.762363,27.381542,57.710682,59.502056
09908,78.412674,54.711155,161.793823,161.288116
08891,27.698505,29.046215,49.531399,54.896923
03162,119.042740,81.769226,340.695679,393.691498
08725,176.680634,147.745819,360.889282,394.001801
12003,227.757294,175.003723,457.976563,474.000122
03282,148.392914,119.023804,305.230530,331.057037
06000,207.618332,185.660614,382.809631,419.685333
05249,359.879303,254.455750,762.744629,820.378479
01152,65.083069,41.955093,168.065308,164.149185
10033,63.749054,52.585075,121.281281,125.215645
07199,113.816635,105.506020,231.508041,256.178314
02380,90.576012,65.318878,342.959473,359.362732
07102,156.244293,137.285126,321.616638,353.571289
03219,168.987534,129.234772,363.052917,383.877930
00050,467.881317,326.784027,1042.436646,1062.907959
11131,99.927917,75.947014,215.526123,237.746017
05132,125.947769,75.806763,297.751495,314.903076
12098,46.212692,36.278217,92.426941,94.422775
09993,142.261627,124.422180,263.631683,281.187653
01229,295.709302,235.337209,645.662791,735.709302
09627,445.548492,280.232544,1183.581543,1230.517212
02060,154.398895,106.975784,324.204163,343.633514
10348,324.689392,187.419907,695.208984,766.972534
06172,238.448990,219.925232,562.489014,606.417786
10141,270.970947,227.484528,544.348145,605.942444
02269,256.614380,234.076797,580.218811,656.154419
01020,75.701019,56.025764,187.808731,215.099228
02189,191.927902,129.708191,396.584534,406.154694
04142,300.673401,262.319550,573.841064,621.784363
12171,47.686405,48.815437,100.009109,111.952881
11338,278.018066,249.861465,610.999084,686.446472
00259,157.152161,130.326904,313.372925,359.871124
