id,manual_1_X,manual_1_Y,manual_2_X,manual_2_Y,manual_3_X,manual_3_Y,manual_4_X,manual_4_Y,manual_5_X,manual_5_Y,Gender,Race,Age
03396,49.717,52.668,66.047,53.490,56.588,63.745,46.746,65.425,66.696,68.856,0,0,2
04548,263.424,256.442,345.468,230.839,357.105,317.538,277.971,379.216,342.558,368.743,1,0,2
03383,153.938,168.343,222.093,173.324,189.314,209.578,152.332,237.299,215.898,239.318,1,0,3
11406,48.938,49.313,68.188,53.125,56.813,65.000,46.188,69.250,63.250,71.813,0,0,2
11413,347.057,377.877,480.759,377.908,391.157,441.117,347.146,526.761,467.286,524.382,0,0,3
06054,321.407,297.546,481.448,305.807,394.168,400.947,333.471,473.461,446.645,480.421,1,0,4
06041,310.222,337.705,424.994,334.072,367.400,393.456,318.930,447.375,418.520,446.584,0,0,3
02367,209.988,228.416,315.462,244.100,256.647,283.310,217.046,308.796,284.486,316.246,2,0,0
08008,39.008,41.918,51.249,41.233,45.685,49.794,39.778,52.790,50.821,51.591,0,2,2
02372,212.514,247.370,274.305,199.047,265.591,266.383,253.708,315.498,321.836,265.591,1,0,2
00426,209.362,220.875,283.004,215.701,239.550,274.926,228.063,300.039,292.436,294.225,1,2,2
00433,308.298,327.193,429.625,306.309,394.818,377.912,339.127,449.515,448.521,431.614,1,2,4
04715,43.706,45.618,59.800,48.964,51.912,54.462,42.909,59.880,55.012,61.858,0,1,1
04700,131.346,136.835,183.828,145.067,149.183,167.363,132.032,193.089,167.706,195.147,1,1,1
08255,532.437,574.235,700.626,547.365,552.341,647.880,572.245,795.170,657.832,801.141,1,0,0
08240,247.575,288.508,353.806,279.737,335.289,316.771,290.457,401.562,364.040,392.790,1,0,2
07900,56.734,63.362,83.635,64.900,71.147,72.803,57.784,84.797,80.403,86.069,2,1,0
07915,130.394,147.963,186.397,139.544,160.408,160.408,147.048,195.548,181.090,191.155,2,2,0
06209,136.311,145.484,178.948,151.601,160.573,174.477,139.860,198.234,167.445,203.122,0,0,2
09949,97.375,104.919,130.191,102.090,116.989,120.195,104.353,142.639,128.305,139.621,0,0,2
01966,87.801,89.210,118.143,96.635,95.867,107.133,82.040,123.136,107.005,129.666,1,1,1
01973,44.400,47.044,58.711,47.511,51.089,55.911,43.778,61.511,57.933,61.978,0,0,3
03782,624.822,653.454,880.223,657.732,769.803,779.389,627.966,929.958,854.160,896.339,1,2,3
04149,252.828,269.658,364.094,276.203,306.435,348.510,261.243,364.717,330.122,365.964,0,0,1
03797,72.455,78.602,98.146,75.710,79.890,92.058,73.368,109.427,100.628,107.598,0,0,3
00997,169.653,182.312,239.639,184.551,220.566,230.972,161.933,251.844,227.667,249.578,1,0,3
00982,354.158,389.569,508.492,383.312,417.885,472.429,361.144,521.878,504.381,516.731,0,1,1
08409,57.769,51.923,73.154,51.000,66.538,64.077,51.769,73.308,63.308,73.462,1,2,2
02773,265.240,277.129,366.614,278.702,308.576,346.189,275.139,385.361,357.387,380.558,1,0,2
02766,150.391,161.795,210.540,161.285,194.029,194.753,149.172,226.107,212.083,225.098,0,0,4
11012,62.817,74.592,79.559,69.808,70.361,86.735,69.993,95.934,81.399,93.542,0,2,3
11007,202.767,206.535,279.372,239.605,230.814,268.907,179.744,283.977,243.372,309.512,1,0,2
06440,89.264,103.518,124.350,97.487,98.663,117.378,95.801,138.458,125.212,134.995,1,0,3
06455,86.050,89.650,112.300,87.850,108.700,106.300,86.350,117.250,109.450,118.000,0,0,2
04301,58.538,60.692,79.249,64.701,67.653,75.603,53.821,79.256,75.359,85.410,1,0,2
04314,260.325,247.162,336.675,245.845,285.336,268.223,268.223,357.737,319.562,352.471,1,0,3
00032,63.230,66.716,83.273,66.094,72.396,78.525,69.719,87.590,81.806,88.281,1,2,1
00027,462.461,489.473,617.782,507.481,505.230,561.506,460.210,656.049,600.372,687.140,0,0,0
05808,128.266,135.528,185.636,142.427,140.793,181.460,139.159,210.508,177.103,216.136,0,0,2
06608,216.721,219.304,307.842,225.129,273.937,282.238,209.495,315.120,294.913,315.120,1,0,3
08641,94.813,102.846,132.067,94.531,110.121,124.385,102.499,138.986,139.600,131.884,1,0,2
10946,116.122,129.780,161.650,128.642,138.886,152.382,120.675,174.171,158.398,174.659,0,1,2
10953,57.507,60.370,76.794,60.069,70.616,71.219,59.918,82.520,77.699,81.616,0,0,2
08654,136.173,151.299,181.277,143.874,153.225,173.026,155.012,208.779,190.215,204.379,0,0,2
03046,125.490,131.691,170.387,130.952,153.947,159.476,123.476,175.306,171.247,173.075,1,0,2
03053,181.876,216.810,287.452,211.376,233.112,259.506,194.297,271.927,271.927,271.150,0,0,1
04698,157.446,159.550,205.151,168.671,169.372,200.942,156.744,217.078,187.612,221.287,1,0,2
09329,444.141,326.817,612.281,400.051,502.429,428.448,354.467,587.620,477.022,641.425,0,1,2
06869,179.971,186.066,243.137,190.499,205.459,223.744,184.958,258.652,234.826,261.422,0,0,1
07375,429.479,480.022,608.270,479.797,532.327,558.323,454.726,667.275,594.778,668.391,0,1,1
07360,85.102,85.685,124.325,89.598,98.344,106.746,75.390,125.113,122.977,130.358,1,0,2
08820,161.852,164.207,222.381,167.019,182.254,201.903,161.964,226.948,214.858,233.096,0,0,1
10727,28.462,28.462,38.486,30.736,34.359,34.864,29.052,39.497,34.780,40.003,1,2,2
10732,37.360,38.550,46.880,40.930,37.228,46.880,36.699,54.416,41.856,57.061,1,2,2
08835,304.354,408.012,353.134,386.671,331.793,436.976,369.902,468.988,409.537,447.646,1,0,2
06384,237.555,260.771,317.857,264.654,311.759,308.397,240.224,354.361,316.491,355.271,0,0,2
06391,341.549,372.012,483.710,376.180,429.303,453.038,359.380,525.114,479.077,520.864,2,0,0
05669,162.660,197.290,223.404,178.148,193.578,214.878,183.888,255.574,248.308,237.594,1,0,2
07898,158.252,151.152,214.692,165.351,189.489,202.978,145.473,221.436,189.489,231.020,1,0,2
02912,93.546,99.681,122.330,97.651,102.437,120.576,100.869,137.560,127.093,136.890,0,1,1
02907,482.471,469.589,643.274,506.229,564.711,612.311,449.610,699.630,577.709,724.539,0,0,2
07128,63.758,70.462,87.408,67.668,74.861,82.551,65.662,91.659,89.070,89.484,1,0,2
09174,252.989,267.010,346.666,274.689,299.641,326.582,249.473,383.443,342.221,383.443,0,2,2
09161,212.876,235.159,301.279,234.429,262.192,280.822,220.881,334.647,293.618,336.361,0,0,4
12066,188.410,185.665,226.441,179.784,188.018,240.947,208.405,269.176,238.595,270.744,0,0,2
12073,260.406,241.203,354.672,240.156,253.074,283.449,253.772,362.353,321.853,368.637,0,2,2
05434,696.276,762.779,956.579,742.254,827.676,874.098,762.505,1036.590,934.175,1028.580,1,0,1
08185,174.934,185.926,239.063,194.111,205.567,212.109,177.042,262.855,215.923,266.039,1,0,1
08190,77.309,69.762,115.883,77.309,92.683,94.081,70.042,107.218,105.821,114.765,0,0,2
05421,168.469,195.460,259.258,165.402,205.582,215.090,193.620,273.061,268.460,249.750,0,0,2
01707,59.092,61.794,79.637,64.441,64.966,78.895,56.743,82.960,79.414,85.046,0,0,3
01712,86.834,92.621,115.252,89.185,109.677,104.961,87.307,123.934,111.796,120.390,2,0,0
07761,132.332,144.897,192.463,150.581,159.855,183.788,131.434,209.216,182.890,208.917,0,0,2
07774,58.346,61.265,78.469,61.265,67.104,71.483,58.763,81.180,75.758,81.493,1,0,1
05985,526.108,474.878,844.695,494.089,743.836,721.423,547.873,875.057,783.516,885.747,1,0,2
10333,39.822,43.236,51.387,41.707,44.611,47.974,42.013,54.597,50.776,53.629,0,0,2
10326,204.024,224.271,282.044,222.697,260.458,263.468,215.401,314.109,277.915,313.433,1,2,2
05990,159.181,169.091,217.988,177.196,183.858,206.217,160.334,240.593,195.519,245.687,0,0,1
04299,530.925,550.091,708.580,540.855,653.790,665.735,523.561,753.229,674.736,738.897,0,0,1
